
Interface: 192.168.1.19 --- 0x11
  Internet Address      Physical Address      Type
  192.168.1.1           44-e9-dd-20-98-14     dynamic   
  192.168.1.11          38-71-de-d6-5a-f3     dynamic   
  192.168.1.12          88-e9-fe-9f-2a-e3     dynamic   
  192.168.1.17          b8-e9-37-33-52-fe     dynamic   
  192.168.1.255         ff-ff-ff-ff-ff-ff     static    
  224.0.0.22            01-00-5e-00-00-16     static    
  224.0.0.251           01-00-5e-00-00-fb     static    
  224.0.0.252           01-00-5e-00-00-fc     static    
  239.255.255.250       01-00-5e-7f-ff-fa     static    
  255.255.255.255       ff-ff-ff-ff-ff-ff     static    
